audit_id,date,floor,ward,department,checklist_type,status,priority,assigned_staff,completion_time,image_uploaded,escalation_status,risk_score,compliance_score
A0334,2025-06-23,1,General Ward,Outpatient,Safety Audit,Pass,Low,S011,13,No,Open,89,96
A0335,2025-01-31,2,General Ward,Critical Care,Waste Audit,Pass,Low,S013,52,No,Closed,70,72
A0336,2025-06-13,4,OT,Diagnostics,Fire Safety Audit,Fail,High,S018,15,No,Open,68,73
A0337,2025-04-18,1,Laboratory,Patient Care,Fire Safety Audit,Pass,High,S010,46,No,Closed,87,60
A0338,2025-02-25,5,General Ward,Patient Care,Safety Audit,Fail,Critical,S028,20,No,Closed,52,98
A0339,2025-01-11,2,OT,Diagnostics,Waste Audit,Pending,Medium,S003,60,No,Closed,68,67
A0340,2025-04-20,5,OPD,Patient Care,Waste Audit,Fail,High,S015,47,Yes,Open,21,61
A0341,2025-05-07,2,OT,Surgery,Waste Audit,Pass,Medium,S001,9,No,Open,91,69
A0342,2025-05-29,5,OPD,Patient Care,Waste Audit,Pending,Low,S021,14,Yes,Open,42,96
A0343,2025-06-21,2,OT,Outpatient,Safety Audit,Pending,Critical,S027,29,Yes,Closed,88,64
A0344,2025-03-20,2,Laboratory,Critical Care,Hygiene Audit,Pass,Low,S011,33,Yes,Open,76,75
A0345,2025-06-13,1,Laboratory,Outpatient,Waste Audit,Pending,Low,S014,22,Yes,Closed,64,73
A0346,2025-02-14,2,Laboratory,Critical Care,Waste Audit,Pass,Medium,S029,18,No,Open,66,61
A0347,2025-04-17,4,OPD,Critical Care,Hygiene Audit,Pass,High,S027,37,Yes,Closed,63,77
A0348,2025-03-17,3,General Ward,Outpatient,Hygiene Audit,Pass,Critical,S010,21,No,Closed,41,76
A0349,2025-02-17,5,Laboratory,Critical Care,Safety Audit,Pending,Low,S010,41,No,Closed,76,98
A0350,2025-04-24,4,OT,Critical Care,Waste Audit,Fail,Medium,S009,56,No,Open,83,61
A0351,2025-01-01,3,ICU,Patient Care,Waste Audit,Fail,High,S026,53,Yes,Open,76,84
A0352,2025-04-25,3,Laboratory,Critical Care,Fire Safety Audit,Fail,Critical,S007,38,No,Open,28,71
A0353,2025-01-26,2,General Ward,Patient Care,Safety Audit,Pass,Critical,S018,28,No,Open,45,87
A0354,2025-03-01,5,General Ward,Diagnostics,Hygiene Audit,Fail,Medium,S012,28,Yes,Closed,85,79
A0355,2025-06-28,2,OPD,Surgery,Hygiene Audit,Fail,Medium,S007,12,Yes,Open,51,96
A0356,2025-05-19,5,ICU,Surgery,Hygiene Audit,Pending,Low,S008,44,No,Closed,44,85
A0357,2025-03-17,2,Laboratory,Outpatient,Waste Audit,Pass,High,S013,11,No,Open,25,100
A0358,2025-06-15,3,General Ward,Outpatient,Safety Audit,Pending,High,S024,14,Yes,Open,85,65
A0359,2025-03-25,5,Laboratory,Critical Care,Hygiene Audit,Pass,Low,S008,13,No,Closed,61,68
A0360,2025-03-05,1,OT,Patient Care,Waste Audit,Pass,Critical,S010,42,Yes,Open,62,69
A0361,2025-04-26,4,General Ward,Diagnostics,Safety Audit,Pass,Medium,S027,25,No,Closed,24,71
A0362,2025-05-16,5,OT,Patient Care,Hygiene Audit,Pass,Critical,S009,14,Yes,Closed,91,68
A0363,2025-02-23,3,General Ward,Diagnostics,Hygiene Audit,Fail,High,S004,53,Yes,Open,35,68
A0364,2025-05-10,3,OPD,Patient Care,Fire Safety Audit,Pass,High,S030,55,No,Open,60,72
A0365,2025-03-11,3,OPD,Surgery,Fire Safety Audit,Pass,Low,S006,35,No,Open,44,60
A0366,2025-01-28,2,General Ward,Critical Care,Hygiene Audit,Pending,Low,S030,44,Yes,Open,51,86
A0367,2025-05-19,5,ICU,Outpatient,Waste Audit,Fail,Critical,S005,8,No,Open,63,73
A0368,2025-03-05,2,Laboratory,Patient Care,Fire Safety Audit,Pass,Low,S012,53,Yes,Open,49,63
A0369,2025-04-17,2,OT,Patient Care,Hygiene Audit,Pass,Medium,S019,9,Yes,Open,59,93
A0370,2025-04-24,4,OPD,Diagnostics,Safety Audit,Fail,Medium,S002,17,No,Open,87,90
A0371,2025-03-17,1,Laboratory,Patient Care,Safety Audit,Pending,High,S021,55,No,Open,45,63
A0372,2025-05-08,3,OT,Patient Care,Hygiene Audit,Fail,High,S024,26,Yes,Closed,39,61
A0373,2025-06-05,5,OPD,Critical Care,Safety Audit,Fail,High,S008,59,Yes,Closed,78,75
A0374,2025-04-07,1,General Ward,Critical Care,Fire Safety Audit,Pending,Medium,S003,53,No,Closed,73,99
A0375,2025-06-20,1,OPD,Diagnostics,Waste Audit,Pass,Medium,S020,28,Yes,Closed,34,98
A0376,2025-06-19,2,Laboratory,Surgery,Hygiene Audit,Pending,Low,S011,8,No,Open,39,91
A0377,2025-04-02,2,General Ward,Diagnostics,Safety Audit,Pending,Critical,S020,23,Yes,Open,79,71
A0378,2025-05-03,5,ICU,Surgery,Fire Safety Audit,Pending,Low,S017,46,Yes,Closed,90,75
A0379,2025-01-25,5,Laboratory,Critical Care,Hygiene Audit,Pass,Medium,S023,34,Yes,Open,93,92
A0380,2025-03-16,5,OPD,Diagnostics,Waste Audit,Fail,Medium,S026,24,No,Closed,61,97
A0381,2025-06-17,2,ICU,Critical Care,Safety Audit,Fail,High,S025,32,No,Open,56,66
A0382,2025-06-13,2,General Ward,Surgery,Hygiene Audit,Fail,High,S002,24,No,Open,90,72
A0383,2025-06-05,2,Laboratory,Diagnostics,Safety Audit,Pending,Low,S008,14,No,Closed,27,98
A0384,2025-02-23,2,OT,Surgery,Safety Audit,Pass,Medium,S029,59,Yes,Closed,69,92
A0385,2025-04-04,1,ICU,Critical Care,Fire Safety Audit,Fail,Low,S025,30,No,Closed,38,76
A0386,2025-05-31,1,OPD,Patient Care,Hygiene Audit,Pending,Low,S026,6,No,Open,65,78
A0387,2025-05-13,3,General Ward,Patient Care,Waste Audit,Pass,Low,S029,37,No,Closed,56,90
A0388,2025-05-04,1,Laboratory,Patient Care,Safety Audit,Pending,Critical,S002,43,Yes,Closed,33,99
A0389,2025-06-27,4,OPD,Critical Care,Hygiene Audit,Pass,Critical,S002,9,No,Open,69,72
A0390,2025-05-05,2,General Ward,Diagnostics,Fire Safety Audit,Pending,High,S002,45,Yes,Closed,75,95
A0391,2025-05-20,3,ICU,Diagnostics,Safety Audit,Fail,Low,S015,5,Yes,Closed,22,80
A0392,2025-05-04,5,OPD,Diagnostics,Hygiene Audit,Pending,Critical,S022,7,Yes,Open,39,78
A0393,2025-04-12,2,OPD,Critical Care,Fire Safety Audit,Pending,Critical,S001,13,No,Open,71,69
A0394,2025-05-07,4,Laboratory,Patient Care,Hygiene Audit,Pending,Low,S019,27,Yes,Open,53,95
A0395,2025-01-10,5,Laboratory,Patient Care,Fire Safety Audit,Pending,High,S026,27,No,Closed,41,88
A0396,2025-01-11,1,General Ward,Outpatient,Safety Audit,Fail,Critical,S012,56,Yes,Open,93,97
A0397,2025-04-30,1,ICU,Outpatient,Safety Audit,Fail,Low,S017,41,No,Open,73,100
A0398,2025-04-02,5,Laboratory,Patient Care,Safety Audit,Fail,Medium,S003,15,No,Closed,93,92
A0399,2025-03-06,2,Laboratory,Patient Care,Safety Audit,Pass,Critical,S028,35,Yes,Closed,22,91
A0400,2025-03-24,2,OT,Outpatient,Fire Safety Audit,Fail,High,S018,34,Yes,Closed,42,83
A0401,2025-01-30,2,OT,Diagnostics,Hygiene Audit,Fail,High,S010,55,No,Open,47,93
A0402,2025-02-23,5,Laboratory,Critical Care,Waste Audit,Pass,High,S030,18,Yes,Open,20,80
A0403,2025-05-01,2,General Ward,Patient Care,Hygiene Audit,Pending,Low,S002,16,No,Closed,63,97
A0404,2025-06-20,2,Laboratory,Critical Care,Fire Safety Audit,Pending,Medium,S007,7,No,Open,49,100
A0405,2025-02-18,1,Laboratory,Outpatient,Waste Audit,Pending,High,S010,19,Yes,Open,93,98
A0406,2025-04-20,4,General Ward,Outpatient,Safety Audit,Pending,High,S007,55,Yes,Closed,24,90
A0407,2025-02-22,5,ICU,Diagnostics,Waste Audit,Pending,Medium,S011,59,No,Open,41,67
A0408,2025-06-25,2,OT,Surgery,Safety Audit,Pass,Low,S016,28,No,Open,95,100
A0409,2025-01-03,1,OPD,Patient Care,Hygiene Audit,Pass,Low,S029,54,No,Closed,91,69
A0410,2025-03-11,4,ICU,Critical Care,Waste Audit,Fail,Low,S016,36,Yes,Closed,44,85
A0411,2025-01-25,1,ICU,Surgery,Fire Safety Audit,Pass,Low,S003,30,No,Open,71,60
A0412,2025-05-20,4,OT,Patient Care,Waste Audit,Pass,Low,S005,6,Yes,Open,88,63
A0413,2025-04-20,1,General Ward,Surgery,Waste Audit,Fail,High,S006,21,Yes,Closed,92,98
A0414,2025-04-30,4,OT,Diagnostics,Waste Audit,Pass,Low,S001,44,No,Closed,45,78
A0415,2025-06-13,5,General Ward,Patient Care,Fire Safety Audit,Fail,Critical,S012,22,No,Closed,29,60
A0416,2025-06-13,3,OPD,Diagnostics,Safety Audit,Pending,High,S015,41,Yes,Closed,23,71
A0417,2025-05-15,2,Laboratory,Outpatient,Fire Safety Audit,Pending,Low,S029,47,Yes,Closed,61,69
A0418,2025-05-06,3,Laboratory,Surgery,Hygiene Audit,Pending,Low,S029,48,Yes,Closed,45,68
A0419,2025-03-13,2,OPD,Outpatient,Fire Safety Audit,Fail,Low,S004,9,No,Closed,87,61
A0420,2025-06-04,3,Laboratory,Critical Care,Safety Audit,Pending,High,S003,34,Yes,Open,47,63
A0421,2025-03-04,4,OPD,Diagnostics,Fire Safety Audit,Fail,Medium,S007,20,No,Closed,36,94
A0422,2025-02-16,3,ICU,Surgery,Waste Audit,Fail,High,S013,50,Yes,Open,78,89
A0423,2025-03-09,4,ICU,Critical Care,Hygiene Audit,Pass,Low,S009,16,No,Closed,80,84
A0424,2025-03-30,1,OT,Diagnostics,Fire Safety Audit,Pending,Critical,S028,31,Yes,Closed,40,98
A0425,2025-04-04,4,Laboratory,Outpatient,Hygiene Audit,Pending,High,S011,20,Yes,Open,84,63
A0426,2025-06-28,1,ICU,Surgery,Waste Audit,Pass,High,S017,34,Yes,Closed,60,75
A0427,2025-06-05,5,Laboratory,Diagnostics,Waste Audit,Pending,High,S016,45,Yes,Closed,27,75
A0428,2025-05-14,4,ICU,Critical Care,Hygiene Audit,Pending,Medium,S029,43,Yes,Closed,70,83
A0429,2025-02-02,1,OPD,Critical Care,Fire Safety Audit,Fail,Critical,S013,15,Yes,Open,75,74
A0430,2025-02-01,3,Laboratory,Patient Care,Safety Audit,Pass,Critical,S011,31,No,Open,69,86
A0431,2025-05-08,1,OT,Patient Care,Waste Audit,Fail,Critical,S022,37,No,Open,77,86
A0432,2025-05-07,3,ICU,Outpatient,Waste Audit,Pass,Low,S008,59,Yes,Open,49,76
A0433,2025-05-29,3,General Ward,Critical Care,Waste Audit,Pass,Medium,S022,22,No,Open,90,64
A0434,2025-03-23,1,General Ward,Outpatient,Waste Audit,Pending,Low,S003,43,Yes,Closed,63,63
A0435,2025-05-09,1,OPD,Diagnostics,Safety Audit,Pending,Critical,S002,8,Yes,Open,35,78
A0436,2025-06-15,3,General Ward,Patient Care,Fire Safety Audit,Pass,Medium,S024,42,No,Closed,83,76
A0437,2025-02-25,2,OPD,Patient Care,Safety Audit,Pending,High,S006,16,Yes,Open,64,76
A0438,2025-02-10,3,General Ward,Critical Care,Waste Audit,Fail,Critical,S005,54,Yes,Open,68,63
A0439,2025-04-15,4,OT,Diagnostics,Waste Audit,Fail,Critical,S011,11,Yes,Open,58,70
A0440,2025-06-12,4,Laboratory,Outpatient,Safety Audit,Pending,Low,S014,24,No,Closed,23,78
A0441,2025-05-27,2,Laboratory,Surgery,Safety Audit,Pending,High,S019,27,Yes,Open,29,70
A0442,2025-01-03,3,OT,Surgery,Hygiene Audit,Pending,Low,S015,20,Yes,Closed,32,84
A0443,2025-04-11,5,OPD,Patient Care,Hygiene Audit,Pass,Low,S012,18,Yes,Closed,73,95
A0444,2025-04-02,2,OPD,Surgery,Safety Audit,Pass,Critical,S010,55,Yes,Closed,31,61
A0445,2025-05-31,4,General Ward,Patient Care,Waste Audit,Pass,Medium,S008,59,Yes,Open,49,60
A0446,2025-05-29,1,Laboratory,Patient Care,Safety Audit,Pending,Critical,S001,44,No,Open,72,78
A0447,2025-01-01,5,General Ward,Surgery,Waste Audit,Fail,Critical,S003,46,No,Closed,52,85
A0448,2025-05-04,5,OT,Outpatient,Waste Audit,Pass,Low,S021,45,No,Open,67,89
A0449,2025-02-19,1,OT,Diagnostics,Fire Safety Audit,Pending,High,S028,25,No,Open,48,74
A0450,2025-03-16,3,Laboratory,Patient Care,Fire Safety Audit,Fail,Medium,S019,32,No,Closed,30,61
A0451,2025-05-20,5,OPD,Diagnostics,Safety Audit,Fail,Medium,S028,60,No,Open,73,81
A0452,2025-01-03,1,General Ward,Critical Care,Hygiene Audit,Fail,Medium,S005,30,Yes,Open,92,100
A0453,2025-03-08,3,ICU,Outpatient,Hygiene Audit,Fail,Medium,S023,57,Yes,Open,75,86
A0454,2025-01-02,3,OPD,Outpatient,Hygiene Audit,Pass,Medium,S022,8,No,Closed,52,86
A0455,2025-03-09,5,Laboratory,Diagnostics,Hygiene Audit,Pending,Medium,S026,48,No,Open,69,62
A0456,2025-03-01,3,ICU,Outpatient,Waste Audit,Pass,High,S015,34,No,Closed,84,93
A0457,2025-01-13,1,General Ward,Diagnostics,Hygiene Audit,Pass,High,S012,39,No,Open,91,64
A0458,2025-04-22,2,OPD,Diagnostics,Hygiene Audit,Fail,Low,S027,29,Yes,Open,44,80
A0459,2025-04-07,3,OPD,Surgery,Safety Audit,Pass,Medium,S018,33,No,Open,41,77
A0460,2025-01-23,1,Laboratory,Patient Care,Fire Safety Audit,Pending,High,S012,45,No,Open,35,83
A0461,2025-04-09,4,Laboratory,Surgery,Hygiene Audit,Pending,Critical,S026,55,Yes,Closed,56,67
A0462,2025-01-17,2,Laboratory,Patient Care,Waste Audit,Pass,Medium,S002,30,No,Open,38,84
A0463,2025-02-18,5,OT,Diagnostics,Fire Safety Audit,Pass,High,S016,43,No,Closed,43,71
A0464,2025-03-10,4,ICU,Patient Care,Safety Audit,Pending,High,S019,49,No,Open,89,91
A0465,2025-04-29,3,ICU,Diagnostics,Fire Safety Audit,Pass,Low,S024,14,Yes,Closed,74,96
A0466,2025-01-14,3,ICU,Patient Care,Hygiene Audit,Pass,Critical,S007,46,Yes,Closed,55,61
A0467,2025-02-16,2,General Ward,Surgery,Fire Safety Audit,Pass,High,S011,34,No,Closed,68,93
A0468,2025-05-01,2,General Ward,Critical Care,Waste Audit,Fail,Medium,S026,53,Yes,Closed,78,79
A0469,2025-03-30,5,ICU,Outpatient,Hygiene Audit,Pending,Low,S015,8,No,Open,94,94
A0470,2025-01-31,4,OPD,Diagnostics,Hygiene Audit,Pass,Low,S024,46,No,Closed,68,72
A0471,2025-01-06,2,ICU,Surgery,Hygiene Audit,Pending,Medium,S021,15,Yes,Open,62,96
A0472,2025-03-21,2,OPD,Diagnostics,Hygiene Audit,Fail,Critical,S028,26,No,Open,42,95
A0473,2025-02-10,3,Laboratory,Outpatient,Waste Audit,Fail,Medium,S015,35,No,Closed,94,95
A0474,2025-02-14,2,General Ward,Critical Care,Waste Audit,Pass,Medium,S024,32,Yes,Open,79,60
A0475,2025-04-23,2,OT,Surgery,Fire Safety Audit,Fail,Medium,S013,33,Yes,Open,86,95
A0476,2025-02-15,1,General Ward,Critical Care,Safety Audit,Fail,High,S004,10,Yes,Closed,83,69
A0477,2025-06-18,2,Laboratory,Critical Care,Safety Audit,Pass,Low,S019,14,Yes,Closed,44,85
A0478,2025-05-31,1,OPD,Diagnostics,Waste Audit,Pass,Critical,S027,37,Yes,Open,47,76
A0479,2025-03-21,1,OPD,Patient Care,Safety Audit,Pass,High,S023,57,No,Open,21,97
A0480,2025-02-20,1,OPD,Surgery,Hygiene Audit,Pass,High,S024,55,Yes,Open,29,96
A0481,2025-01-21,4,General Ward,Patient Care,Safety Audit,Pass,Critical,S022,7,No,Closed,22,87
A0482,2025-03-01,3,OT,Diagnostics,Waste Audit,Pass,Low,S006,42,Yes,Closed,55,77
A0483,2025-05-04,1,Laboratory,Diagnostics,Hygiene Audit,Pass,High,S026,54,No,Closed,43,69
A0484,2025-04-03,3,OT,Surgery,Safety Audit,Pending,High,S028,35,No,Open,66,65
A0485,2025-04-15,5,ICU,Patient Care,Safety Audit,Pass,Critical,S009,11,Yes,Closed,24,86
A0486,2025-03-10,1,General Ward,Patient Care,Safety Audit,Pending,Critical,S001,5,Yes,Closed,88,62
A0487,2025-05-09,1,ICU,Critical Care,Hygiene Audit,Pass,Low,S015,52,No,Closed,89,77
A0488,2025-04-30,1,Laboratory,Diagnostics,Fire Safety Audit,Pending,Low,S025,47,No,Closed,95,89
A0489,2025-03-02,5,OPD,Surgery,Waste Audit,Fail,Low,S009,60,No,Open,78,67
A0490,2025-04-16,5,OPD,Surgery,Safety Audit,Pending,Medium,S007,16,No,Closed,85,84
A0491,2025-01-27,4,Laboratory,Patient Care,Safety Audit,Pending,Critical,S016,42,Yes,Closed,23,91
A0492,2025-05-16,3,OPD,Critical Care,Safety Audit,Pending,Low,S006,46,No,Open,86,71
A0493,2025-02-12,5,OT,Patient Care,Fire Safety Audit,Pending,Medium,S002,15,Yes,Open,61,66
A0494,2025-04-28,3,OPD,Critical Care,Hygiene Audit,Fail,Low,S021,12,No,Closed,68,97
A0495,2025-04-21,4,General Ward,Critical Care,Fire Safety Audit,Pass,Medium,S013,34,No,Open,66,98
A0496,2025-04-29,2,General Ward,Diagnostics,Safety Audit,Pass,Medium,S013,31,Yes,Open,81,74
A0497,2025-02-26,4,OPD,Critical Care,Fire Safety Audit,Pending,Medium,S022,44,No,Closed,53,61
A0498,2025-02-05,3,Laboratory,Outpatient,Waste Audit,Fail,High,S028,57,Yes,Open,71,63
A0499,2025-02-17,5,OPD,Critical Care,Fire Safety Audit,Pass,Low,S009,51,No,Closed,33,63
A0500,2025-04-05,2,OT,Critical Care,Hygiene Audit,Fail,Low,S010,15,Yes,Closed,66,99
